trip_id,timestamp,origin_lat,origin_lon,origin_h3_cell,destination_lat,destination_lon,destination_h3_cell,distance_miles,surge_multiplier,fare,status,vehicle_id,pickup_distance,pickup_time_minutes
TRIP_000000,0.0,41.097615,-81.499638,872ab3ae2ffffff,41.0762307,-81.4654453,872ab3ae3ffffff,2.898455631333539,1.0,5.318764505066831,assigned,0.0,1.487031684061213,3.568876041746912
TRIP_000001,6.591585603641122,41.121774,-81.493178,872ab3ae6ffffff,41.085036,-81.569458,872ab3af3ffffff,5.772426832876791,1.0,7.617941466301433,requested,,,
TRIP_000002,40.224310977095115,41.042513,-81.573304,872ab3ad1ffffff,41.090484,-81.553881,872ab3af3ffffff,3.793687071679904,1.0,6.034949657343923,requested,,,
TRIP_000003,51.67778521977904,41.111181,-81.509092,872ab3af5ffffff,41.080869,-81.479386,872ab3ae3ffffff,3.629443153704864,1.0,5.9035545229638915,requested,,,
TRIP_000004,59.41967709930278,41.0691094,-81.4591953,872ab3aeeffffff,41.128623,-81.58164,872ab3af6ffffff,8.348706490816747,1.0,9.678965192653397,requested,,,
TRIP_000005,65.14657219647648,41.138121,-81.464609,872ab3a19ffffff,41.1020748,-81.4778159,872ab3ae0ffffff,3.342089561225239,1.0,5.673671648980191,requested,,,
TRIP_000006,66.39731936227642,41.0884002,-81.534851,872ab3af1ffffff,41.076494,-81.576126,872ab3ad5ffffff,2.767524678466467,1.0,5.214019742773173,assigned,5.0,0.812561159800484,1.950146783521164
TRIP_000007,85.01795818934573,41.0625588,-81.506932,872ab3ac5ffffff,41.1352797,-81.5455344,872ab3af4ffffff,7.193518991191601,1.0,8.75481519295328,assigned,1.0,1.52428141884921,3.658275405238106
TRIP_000008,97.9223192776308,41.0919621,-81.4412475,872ab3ae5ffffff,41.049167,-81.480499,872ab3aeaffffff,4.79045360243423,1.0,6.832362881947384,requested,,,
TRIP_000009,115.42024476258251,41.05225,-81.554471,872ab3ac2ffffff,41.0616915,-81.5465187,872ab3ac2ffffff,1.428593136095217,1.0,4.142874508876174,requested,,,
TRIP_000010,140.322646887601,41.058307,-81.536936,872ab3ac0ffffff,41.097812,-81.495209,872ab3ae2ffffff,4.352208978237429,1.0,6.481767182589943,assigned,2.0,1.486652220318835,3.567965328765205
TRIP_000011,165.66005080779092,41.076594,-81.488164,872ab3ae3ffffff,41.118538,-81.510037,872ab3af5ffffff,3.720458418370771,1.0,5.976366734696617,assigned,22.0,1.52454102569675,3.6588984616722002
TRIP_000012,186.49861684776772,41.1318038,-81.5861129,872ab3a8dffffff,41.10313,-81.503163,872ab3ae2ffffff,6.021687533052954,1.0,7.817350026442363,requested,,,
TRIP_000013,230.8264433673225,41.080124,-81.459941,872ab3ae1ffffff,41.08958,-81.47077,872ab3ae0ffffff,1.1893534955337661,1.0,3.951482796427013,requested,,,
TRIP_000014,278.2481547201145,41.034884,-81.512618,872ab3ac1ffffff,41.089064,-81.565953,872ab3af3ffffff,6.10597679470183,1.0,7.8847814357614645,requested,,,
TRIP_000015,286.2125718972941,41.059692,-81.497963,872ab3ac5ffffff,41.072508,-81.446267,872ab3ae1ffffff,3.369985680448003,1.0,5.695988544358403,assigned,6.0,1.52428141884921,3.658275405238106
TRIP_000016,308.26131929764887,41.0834113,-81.5090316,872ab3ac4ffffff,41.073399,-81.488808,872ab3ae3ffffff,1.6897943785465221,1.0,4.351835502837218,assigned,82.0,0.18490660300473102,0.44377584721135505
TRIP_000017,329.67433789022925,41.12615,-81.58115,872ab3af6ffffff,41.0796076,-81.5288081,872ab3ac6ffffff,4.548917801255763,1.0,6.63913424100461,requested,,,
TRIP_000018,386.39476516401703,41.102036,-81.47547899999999,872ab3ae0ffffff,41.0838552,-81.5037038,872ab3ac4ffffff,2.424975462937967,1.0,4.939980370350374,assigned,27.0,1.487179917760473,3.569231802625136
TRIP_000019,439.81908605775095,41.119078,-81.590982,872ab3a8dffffff,41.124101,-81.467212,872ab3ae4ffffff,7.849086524253356,1.0,9.279269219402686,requested,,,
TRIP_000020,452.2020621891053,41.061844,-81.467334,872ab3aeeffffff,41.027994,-81.570611,872ab3adcffffff,7.355067690252585,1.0,8.884054152202069,assigned,30.0,1.524250540106124,3.658201296254698
TRIP_000021,455.2254101411767,41.025705,-81.565113,872ab3adcffffff,41.062229,-81.488646,872ab3ac5ffffff,6.346002474001556,1.0,8.076801979201246,requested,,,
TRIP_000022,458.3545217041648,41.084339,-81.552088,872ab3af3ffffff,41.088668,-81.569423,872ab3af3ffffff,1.232946928142246,1.0,3.986357542513797,assigned,16.0,1.5246019737591971,3.659044737022073
TRIP_000023,477.75036337158895,41.126916,-81.501848,872ab3a1bffffff,41.0617251,-81.5273053,872ab3ac0ffffff,5.166136225558993,1.0,7.132908980447195,requested,,,
TRIP_000024,529.4668169358265,41.0564903,-81.526062,872ab3ac0ffffff,41.1298274,-81.5128379,872ab3a1bffffff,5.6008853323347685,1.0,7.480708265867815,assigned,52.0,0.36744500319100104,0.8818680076584041
TRIP_000025,550.5886770193398,41.0628732,-81.5085299,872ab3ac0ffffff,41.041594,-81.479455,872ab3aeaffffff,3.059773172304387,1.0,5.44781853784351,assigned,45.0,0.502128268777788,1.205107845066691
TRIP_000026,559.0190003154473,41.128638,-81.511955,872ab3a1bffffff,41.1345065,-81.5085275,872ab3a1bffffff,0.5078846334959071,1.0,3.406307706796726,requested,,,
TRIP_000027,569.8790327180355,41.034071,-81.517561,872ab3ac1ffffff,41.134902,-81.474378,872ab3a19ffffff,8.193824135039405,1.0,9.555059308031524,assigned,26.0,1.524021644836423,3.657651947607416
TRIP_000028,576.1779177780151,41.082566,-81.490435,872ab3ae3ffffff,41.054454,-81.494037,872ab3ac5ffffff,2.100570549970323,1.0,4.680456439976259,assigned,54.0,0.338646387167963,0.8127513292031121
TRIP_000029,581.3278179733487,41.033539,-81.498204,872ab3ac1ffffff,41.083894,-81.461919,872ab3ae1ffffff,4.627317270078318,1.0,6.701853816062654,assigned,79.0,1.524021644836423,3.657651947607416
TRIP_000030,640.4608901003127,41.066204,-81.558443,872ab3ad5ffffff,41.0544565,-81.499238,872ab3ac5ffffff,3.886915627611143,1.0,6.109532502088915,assigned,24.0,1.5649121656844531,3.7557891976426863
TRIP_000031,681.6251689766118,41.039981,-81.530474,872ab3ac3ffffff,41.0653042,-81.5125955,872ab3ac4ffffff,2.625761192658833,1.0,5.100608954127066,assigned,8.0,1.4862724826533291,3.56705395836799
TRIP_000032,693.4914999386195,41.1328391,-81.491748,872ab3a19ffffff,41.070563,-81.473664,872ab3ae3ffffff,5.462272329224248,1.0,7.369817863379398,requested,,,
TRIP_000033,717.7007055717686,41.124854,-81.5494684,872ab3af4ffffff,41.105591,-81.547706,872ab3af0ffffff,1.349557002175878,1.0,4.079645601740703,assigned,87.0,1.525120888560225,3.66029013254454
TRIP_000034,740.384873009551,41.076095,-81.491787,872ab3ae3ffffff,41.0325011,-81.5458476,872ab3ac3ffffff,5.373561760201731,1.0,7.298849408161385,assigned,66.0,0.102843130892037,0.24682351414088902
TRIP_000035,764.2964773153441,41.1344539,-81.496674,872ab3a1bffffff,41.08632,-81.53143,872ab3af1ffffff,4.6681495422735875,1.0,6.73451963381887,requested,,,
TRIP_000036,764.8369765407767,41.0445005,-81.4454065,872ab3ae8ffffff,41.049289,-81.498015,872ab3ac5ffffff,3.226219977100355,1.0,5.580975981680284,requested,,,
TRIP_000037,850.5056616874164,41.103334,-81.526952,872ab3af1ffffff,41.047161,-81.501018,872ab3ac1ffffff,4.931190877736631,1.0,6.944952702189305,assigned,76.0,0.0,0.0
TRIP_000038,978.8029292409594,41.066069,-81.549117,872ab3ac6ffffff,41.040472,-81.5680581,872ab3adcffffff,2.41062918671723,1.0,4.928503349373784,assigned,32.0,0.668268155133774,1.603843572321058
TRIP_000039,995.0681561251688,41.0384682,-81.5869975,872ab3adeffffff,41.0909065,-81.5441866,872ab3af1ffffff,5.01457184690227,1.0,7.011657477521816,requested,,,
TRIP_000040,1021.2326170460037,41.077841,-81.554005,872ab3ac6ffffff,41.09925,-81.517899,872ab3af1ffffff,3.132496324285728,1.0,5.505997059428584,assigned,5.0,0.36893197446018205,0.8854367387044381
TRIP_000041,1037.3058553845112,41.061844,-81.467334,872ab3aeeffffff,41.0604739,-81.5287742,872ab3ac0ffffff,3.809439996312952,1.0,6.047551997050362,assigned,18.0,0.528309977328106,1.267943945587456
TRIP_000042,1055.3077159446252,41.094711,-81.497401,872ab3ae2ffffff,41.114392,-81.553168,872ab3af0ffffff,4.384952372614284,1.0,6.507961898091428,assigned,25.0,0.07341946752891801,0.17620672206940402
